,title,count
0,THE SEVEN HUSBANDS OF EVELYN HUGO,115
1,UGLY LOVE,66
2,IT STARTS WITH US,59
3,ICEBREAKER,41
4,PEOPLE WE MEET ON VACATION,38
5,NOVEMBER 9,35
6,ME BEFORE YOU,33
7,LIGHTS OUT,27
8,A COURT OF SILVER FLAMES,22
9,HAPPY PLACE,22
